Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W353    2105.1          1988.98         0.122           1.05838         43.9388         5.15042         
W354    2105.31         1779.42         0.122           1.18314         47.1498         3.25441         
W355    2105.47         1800.45         0.122           1.16941         40.5419         0.912415        
W356    2105.57         1773.43         0.122           1.18729         45.9248         4.11533         
W357    2105.63         1744.65         0.122           1.2069          40.1875         5.96135         
W358    2105.63         1732.48         0.122           1.21538         41.5212         3.15579         
W359    2105.57         1728.3          0.122           1.21829         45.7397         2.67897         
W360    2105.47         1791.21         0.122           1.17544         37.2884         4.93408         
W361    2105.31         1767.44         0.122           1.19116         51.2348         16.5277         
W362    2105.1          1837.34         0.122           1.14573         42.4505         1.59399         
W363    2104.84         1856.5          0.122           1.13377         44.1075         0.70021         
W364    2104.52         1918.34         0.122           1.09705         42.4664         0.583897        
W365    2104.15         1806.39         0.122           1.16484         52.7525         4.84172         
W366    2103.73         1944.62         0.122           1.08182         54.313          3.95166         
W367    2103.26         1967.34         0.122           1.06909         61.3933         1.03661         
W368    2102.73         1834.4          0.122           1.14628         51.7886         0.485074        
W369    2102.16         1950.25         0.122           1.07789         48.5309         1.44749         
W370    2101.53         2034.45         0.122           1.03297         48.5917         0.682765        
W371    2100.85         1918.82         0.122           1.09487         46.3941         1.45414         
W372    2100.12         1930.31         0.122           1.08797         44.5557         0.399126        
W373    2099.33         1947.36         0.122           1.07804         38.427          0.986298        
W374    2098.5          1857.61         0.122           1.12968         98.3442         0.804993        
W375    2098.81         1993.82         0.122           1.05266         41.0058         2.37419         
W376    2099.65         1981.34         0.122           1.05971         42.0587         0.86857         
W377    2100.43         1887.64         0.122           1.11273         42.6568         1.28114         
W378    2101.16         1945.37         0.122           1.08008         39.3061         0.825667        
W379    2101.84         1867.66         0.122           1.12539         39.638          1.21253         
W380    2102.47         1904.76         0.122           1.1038          46.1377         0.643593        
W381    2103.05         1954.02         0.122           1.07627         44.4017         0.468056        
W382    2103.57         1914.59         0.122           1.0987          47.4357         0.239001        
W383    2104.05         1825.97         0.122           1.15229         58.3528         1.91345         
W384    2104.47         1876.78         0.122           1.12132         42.8491         1.76393         
W385    2104.83         1750.38         0.122           1.2025          52.0836         2.36206         
W386    2105.15         1756.74         0.122           1.19833         51.7571         2.81084         
W387    2105.41         1778.88         0.122           1.18356         48.6352         6.59022         
W388    2105.62         1885.32         0.122           1.11685         36.6546         4.7983          
W389    2105.78         1802.06         0.122           1.16854         43.0072         2.26622         
W390    2105.89         1764            0.122           1.19381         40.801          3.13224         
W391    2105.94         1706.39         0.122           1.23415         43.853          3.88274         
W392    2105.94         1846.74         0.122           1.14035         41.3888         5.53414         
W393    2105.89         1774.2          0.122           1.18695         43.2988         16.5267         
W394    2105.78         1742.28         0.122           1.20864         45.3187         13.6798         
W395    2105.62         1851.03         0.122           1.13754         39.2165         3.13558         
W396    2105.41         1806.85         0.122           1.16524         46.9874         2.15522         
W397    2105.15         1901.35         0.122           1.10719         43.0252         1.21953         
W398    2104.83         2039.98         0.122           1.03179         46.457          4.02852         
W399    2104.47         1740.73         0.122           1.20896         50.9019         0.623912        
W400    2104.05         1767.33         0.122           1.19052         52.985          5.7244          
W401    2103.57         1909.76         0.122           1.10149         53.3219         1.16226         
W402    2103.05         2004.87         0.122           1.04897         46.7052         0.281487        
W403    2102.47         1957.25         0.122           1.0742          41.9705         2.48318         
W404    2101.84         1914.22         0.122           1.09802         50.9596         3.42031         
W405    2101.16         1816.71         0.122           1.15658         51.3358         1.31788         
W406    2100.43         1900.76         0.122           1.10505         45.8112         0.837893        
W407    2099.65         1910.63         0.122           1.09893         48.6829         0.56494         
W408    2098.81         1857.06         0.122           1.13018         32.4105         0.592874        
W409    2099.07         1942.22         0.122           1.08076         100.155         0.51036         
W410    2099.91         2030.48         0.122           1.03419         46.0472         0.4812          
W411    2100.69         1936.84         0.122           1.0846          44.3745         1.59576         
W412    2101.42         1921.78         0.122           1.09347         44.9837         2.83658         
W413    2102.1          1931.95         0.122           1.08807         39.1457         0.734693        
W414    2102.73         1920.14         0.122           1.09509         41.2099         1.39586         
W415    2103.31         1937.74         0.122           1.08545         41.1843         0.303886        
